User: USER,Path: C:\Program Files (x86)\BMG\CLARIOstar\User\Data\,Test run no.: 5278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Test name: RNA QUANTIFLUOR,Date: 20/10/2013,Time: 15:39:06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fluorescence (FI) spectrum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Well Row,,A,A,A,A,A,A,B,B,B,B,B,B,C,C,C,C,C,C,D,D,D,D,D,D,E,E,E,E,E,E,F,F,F,F,F,F,G,G,G,G,G,G,H,H,H,H,H,H
Well Col,,1,2,3,4,5,6,1,2,3,4,5,6,1,2,3,4,5,6,1,2,3,4,5,6,1,2,3,4,5,6,1,2,3,4,5,6,1,2,3,4,5,6,1,2,3,4,5,6
Content,Wavelength [nm],Sample X1,Sample X2,Sample X3,Sample X4,Sample X5,Sample X6,Sample X7,Sample X8,Sample X9,Sample X10,Sample X11,Sample X12,Sample X13,Sample X14,Sample X15,Sample X16,Sample X17,Sample X18,Sample X19,Sample X20,Sample X21,Sample X22,Sample X23,Sample X24,Sample X25,Sample X26,Sample X27,Sample X28,Sample X29,Sample X30,Sample X31,Sample X32,Sample X33,Sample X34,Sample X35,Sample X36,Sample X37,Sample X38,Sample X39,Sample X40,Sample X41,Sample X42,Sample X43,Sample X44,Sample X45,Sample X46,Sample X47,Sample X48
Raw Data (Em Spectrum),589,59219,115509,84448,11024,11909,9684,36003,60911,32584,5908,5766,4596,14728,20983,13267,3031,3258,3905,6964,9200,6523,1624,3639,1647,3808,5048,3704,1281,1120,1049,2640,3112,2695,888,998,860,1583,1974,1054,938,733,1719,1482,721,708,559,666,598
Raw Data (Em Spectrum),591,56692,109906,80743,10662,11568,9342,34783,58660,31552,5774,5589,4513,14396,20373,12926,3029,3153,3704,6751,9017,6285,1571,3464,1598,3724,4854,3631,1174,1074,1018,2614,2988,2611,892,984,826,1559,1871,1040,872,714,1594,1424,668,671,520,648,578
Raw Data (Em Spectrum),593,55125,106093,78429,10657,11414,9191,33984,56988,30848,5706,5493,4493,14012,19901,12746,3025,3122,3724,6710,8787,6186,1553,3433,1588,3675,4800,3618,1208,1058,995,2516,2974,2528,873,976,816,1520,1764,997,901,701,1567,1388,664,683,518,666,558
Raw Data (Em Spectrum),595,53257,102275,75946,10318,11141,9064,33025,55427,30050,5606,5469,4381,13909,19402,12513,2891,3118,3696,6639,8606,6193,1547,3327,1578,3585,4685,3494,1150,1016,959,2481,2943,2451,887,919,782,1515,1671,991,950,667,1515,1394,651,667,510,635,542
Raw Data (Em Spectrum),597,51640,99606,74081,10274,10971,9061,32383,54256,29398,5509,5353,4383,13558,19219,12396,2884,3067,3660,6494,8476,6034,1488,3253,1517,3555,4697,3495,1198,1018,956,2477,2840,2363,851,919,813,1457,1658,987,903,681,1462,1392,620,666,481,655,539
Raw Data (Em Spectrum),599,50252,96182,71856,9920,10807,8731,31585,52615,28829,5499,5239,4304,13407,18695,12015,2811,2976,3586,6375,8441,5909,1544,3239,1497,3473,4568,3411,1155,1046,903,2389,2795,2267,843,880,803,1486,1605,1018,845,670,1447,1338,598,649,504,645,527
Raw Data (Em Spectrum),601,48250,92245,69306,9729,10618,8706,30796,51017,27866,5357,5251,4199,13160,18177,11863,2790,2979,3539,6190,8124,5834,1484,3119,1503,3516,4497,3335,1108,1001,916,2367,2788,2199,804,895,743,1432,1566,933,818,672,1436,1353,614,614,491,593,500
Raw Data (Em Spectrum),603,46421,88516,66878,9395,10281,8695,29740,49093,27140,5222,5013,4101,12727,17660,11534,2707,2913,3453,6100,7955,5659,1459,3029,1444,3369,4352,3227,1101,1003,886,2310,2721,2124,781,890,761,1376,1525,943,803,647,1386,1279,605,633,479,581,508
Raw Data (Em Spectrum),605,44803,85343,64689,9120,10011,8817,28934,47703,26285,5109,4977,3987,12499,17328,11213,2677,2815,3344,6013,7790,5506,1418,2925,1432,3242,4245,3218,1084,995,903,2311,2640,2111,793,854,757,1375,1475,936,775,629,1340,1271,580,590,454,594,511
Raw Data (Em Spectrum),607,42720,81522,61667,8787,9654,8524,27738,45749,25367,5157,4771,3891,12104,16538,10890,2557,2755,3286,5809,7557,5443,1427,2849,1435,3231,4111,3085,1063,934,846,2216,2519,2039,798,817,712,1310,1420,894,748,606,1287,1218,593,618,472,595,505
Raw Data (Em Spectrum),609,41391,78455,59562,8661,9609,8009,27138,44306,24650,5101,4694,3815,11836,16133,10628,2572,2742,3263,5706,7341,5236,1363,2751,1398,3147,4065,3067,1045,933,851,2214,2512,2018,758,829,730,1316,1374,881,711,614,1245,1228,612,601,459,575,482
Raw Data (Em Spectrum),611,40077,75991,57834,8572,9511,7612,26270,42944,23771,4926,4636,3752,11630,15844,10436,2521,2690,3147,5597,7352,5226,1307,2807,1371,3136,3992,2965,1041,883,819,2130,2470,1946,768,828,712,1314,1418,888,737,606,1240,1196,575,595,444,566,524
Raw Data (Em Spectrum),613,38253,72011,55287,8113,9141,7268,25239,40910,22909,4738,4537,3735,11193,15298,10009,2413,2529,3185,5428,7206,5003,1346,2637,1334,3036,3877,2924,1033,898,834,2086,2424,1967,727,841,681,1311,1391,836,660,583,1206,1172,539,571,464,555,621
Raw Data (Em Spectrum),615,36248,68936,52822,7763,8721,7095,24266,39367,22016,4517,4374,3528,10760,14413,9766,2347,2514,3032,5209,6925,4901,1255,2516,1299,2994,3827,2846,958,897,791,2088,2283,1850,716,774,680,1219,1311,876,645,598,1130,1118,560,567,428,532,508
Raw Data (Em Spectrum),617,35053,66099,50902,7549,8397,6932,23619,38178,21322,4417,4380,3546,10700,14019,9485,2354,2459,2980,5195,6624,4693,1251,2517,1280,2902,3712,2822,968,866,815,1985,2276,1776,727,776,661,1210,1298,822,683,559,1117,1105,549,559,451,522,468
Raw Data (Em Spectrum),619,33658,63963,48933,7328,8246,6787,23069,37057,20916,4285,4247,3407,10366,13826,9402,2256,2461,2881,5110,6602,4687,1227,2373,1277,2871,3615,2722,974,863,797,1948,2223,1811,746,764,673,1186,1290,817,645,602,1128,1116,531,531,438,529,582
Raw Data (Em Spectrum),621,32348,61380,47226,7147,7983,6526,22269,35735,20192,4162,4149,3374,10013,13232,8861,2161,2424,2840,4980,6361,4502,1246,2390,1315,2829,3568,2716,978,857,765,1893,2188,1751,684,770,673,1170,1210,836,644,610,1049,1060,526,523,444,560,823
Raw Data (Em Spectrum),623,31434,58972,45660,7378,7820,6332,21357,34336,19470,4097,3962,3262,9701,12867,8690,2128,2394,2803,4726,6299,4347,1172,2295,1194,2790,3419,2592,934,813,755,1900,2117,1664,711,714,667,1159,1263,785,615,626,1010,1060,544,527,437,546,568
Raw Data (Em Spectrum),625,29757,55948,43497,7238,7483,6077,20578,33088,18910,3947,3830,3108,9431,12308,8490,2056,2356,2698,4620,6074,4252,1161,2298,1192,2641,3291,2549,918,810,741,1862,2039,1628,676,724,636,1112,1206,787,622,593,995,1055,522,502,425,530,425
Raw Data (Em Spectrum),627,28527,54014,41633,6859,7284,5982,19927,31517,18066,3855,3727,3055,9067,11825,8250,2074,2285,2583,4547,5884,4080,1144,2178,1138,2544,3171,2434,906,776,710,1801,2042,1626,654,698,612,1103,1174,796,594,562,948,1013,496,526,395,571,437
Raw Data (Em Spectrum),629,26998,50739,39747,6320,6903,5651,18806,30099,17241,3715,3535,2909,8703,11308,7879,1955,2228,2485,4341,5636,3956,1109,2119,1109,2417,3129,2404,874,802,688,1766,1881,1503,688,722,617,1053,1156,750,582,545,923,970,471,517,437,586,424
Raw Data (Em Spectrum),631,25888,48844,38022,5988,6628,5477,18012,28653,16544,3514,3440,2819,8490,10928,7666,1946,2095,2444,4290,5416,3789,1070,1969,1057,2376,2981,2296,828,747,673,1665,1836,1478,663,679,576,1035,1048,744,569,504,873,963,469,498,401,647,424
Raw Data (Em Spectrum),633,24742,46727,36701,5881,6426,5157,17254,27473,15982,3411,3306,2721,8114,10361,7363,1797,1980,2426,4013,5323,3682,1035,2010,1035,2294,2863,2243,832,758,677,1648,1743,1485,599,660,585,991,1035,714,579,538,870,951,484,470,403,616,423
Raw Data (Em Spectrum),635,23520,44447,34841,5666,6325,5070,16841,26458,15367,3356,3313,2608,7824,10042,7009,1800,1963,2381,3940,5070,3518,1088,1857,1013,2257,2828,2207,843,723,663,1609,1704,1389,609,680,556,957,1042,730,578,500,847,932,478,524,418,563,411
Raw Data (Em Spectrum),637,22336,42664,33465,5598,5857,4888,16087,25372,14586,3217,3180,2577,7613,9561,6781,1767,1815,2233,3790,5010,3579,1002,1793,1017,2170,2736,2037,784,710,651,1586,1716,1368,617,680,558,939,1046,688,562,536,817,891,458,603,377,503,414
Raw Data (Em Spectrum),639,21634,40559,32060,5304,5737,4720,15421,24195,14202,3083,3006,2422,7316,9231,6526,1652,1791,2163,3722,4751,3346,971,1830,959,2077,2604,1989,824,689,634,1497,1652,1342,604,619,549,921,983,658,518,518,816,890,457,484,395,491,406
Raw Data (Em Spectrum),641,20340,38555,30329,5128,5459,4493,14728,22918,13488,2986,2929,2344,6954,8869,6210,1608,1782,2077,3507,4578,3212,978,1649,954,2020,2546,1944,735,683,614,1426,1657,1232,590,594,578,865,990,675,541,473,780,873,461,457,380,457,392
Raw Data (Em Spectrum),643,19229,36337,28972,4789,5144,4249,14135,22299,12894,2847,2855,2285,6508,8455,5938,1512,1698,2006,3379,4329,3096,929,1580,895,1922,2378,1892,798,659,604,1398,1508,1250,591,587,536,916,912,655,503,511,760,849,456,443,367,427,384
Raw Data (Em Spectrum),645,18058,34618,27478,4617,5152,4131,13626,20859,12084,2784,2717,2192,6349,8196,5686,1507,1573,1940,3199,4206,2996,937,1538,875,1873,2324,1794,742,641,588,1343,1502,1215,557,592,543,839,901,636,513,495,756,817,490,433,393,451,362
Raw Data (Em Spectrum),647,17605,32708,26038,4427,4788,4029,12637,19997,11791,2572,2646,2109,6023,7725,5551,1448,1545,1878,3127,4047,2794,870,1522,847,1823,2243,1799,731,648,587,1300,1439,1133,537,560,532,814,856,615,490,435,689,759,444,435,361,449,398
Raw Data (Em Spectrum),649,16444,31380,24608,4154,4493,3715,12183,19149,11294,2502,2536,2014,5874,7449,5333,1425,1459,1797,3024,3860,2686,879,1425,845,1744,2116,1604,657,604,556,1232,1396,1111,531,565,473,768,845,585,512,464,657,792,415,440,372,425,372
Raw Data (Em Spectrum),651,15488,29296,23542,3892,4339,3603,11504,18091,10520,2487,2400,1918,5557,6988,5065,1340,1472,1700,2867,3598,2603,812,1406,827,1700,2055,1614,665,609,584,1289,1401,1096,528,523,507,756,822,594,492,436,644,782,416,441,365,426,370
Raw Data (Em Spectrum),653,15117,28200,22412,3930,4233,3520,11305,17316,10000,2380,2396,1848,5383,6699,4824,1310,1395,1651,2732,3440,2524,836,1347,825,1624,1922,1603,655,575,517,1203,1299,1076,506,554,527,745,809,591,485,586,623,745,431,394,357,437,367
Raw Data (Em Spectrum),655,14062,26780,21482,3567,3976,3517,10791,16408,9739,2246,2201,1764,5113,6379,4592,1266,1372,1641,2660,3438,2358,784,1327,823,1590,1882,1501,655,571,543,1142,1243,1058,521,566,482,711,840,549,454,588,599,711,431,414,347,420,353
Raw Data (Em Spectrum),657,13665,25590,20657,3587,3912,3345,10284,15571,9252,2195,2201,1782,4944,6231,4461,1245,1345,1593,2632,3357,2342,767,1269,726,1528,1859,1522,679,566,531,1139,1221,932,502,543,478,684,814,578,448,472,649,720,413,425,372,413,378
Raw Data (Em Spectrum),659,12615,23993,19258,3362,3604,3132,9545,14889,8874,2107,2138,1728,4810,5928,4381,1156,1280,1491,2299,3163,2231,752,1206,789,1454,1815,1454,715,578,534,1106,1143,963,510,565,503,721,758,590,478,466,646,696,410,423,367,404,416
